HR1	HR2
73.38	62.11
71.97	63.74
67.81	60.63
63.27	58.86
64.85	62.98
68.8	63.27
66.48	67.99
73.58	69.09
75.87	68.13
76.66	69.13
75.66	65.89
70.69	67.44
73.12	63.01
74.59	65.98
78.24	70.56
78.84	67.72
75.05	73.17
75.26	66.62
73.92	71.38
75.2	68.23
79.39	69.58
79.16	71.77
77.71	67.58
75.98	67.65
72.66	68.04
73.17	72.46
77.14	67.95
74.23	70.85
78.22	69.39
76.66	73.57
73.62	74.18
73.82	69.29
73.82	69.38
74.79	71.38
74.07	68.99
73.79	67.12
73.07	69.91
77.08	69.38
76.39	71.04
69.34	70.1
71.09	69.23
70.64	65.26
69.11	69.67
71.98	65.26
69.57	65.68
70.46	64.95
72.66	64.05
71.48	62.94
69.72	68.37
72.14	69.96
69.77	71.09
69.96	69.82
77.35	71.18
71.09	71.04
71.57	70.05
73.07	67.23
75.25	67.48
72.36	71.13
74.95	68.78
78.24	73.68
79.59	73.58
72.12	74.75
72.56	75.47
73.27	75.46
75.15	72.16
78.14	72.41
76.45	73.58
76.39	73.32
75.79	74.84
79.11	74.38
79	73.32
74.23	73.38
73.79	77.19
75.56	69.15
75.1	72.36
75.05	71.82
72.77	72.21
74.43	71.18
72.61	69.2
80.17	71.23
72.19	73.79
73.02	73.12
73.27	72.12
73.22	70.56
77.71	72.87
71.28	63.31
74.23	68.99
73.74	72.21
75.2	69.48
73.77	70.88
73.97	69.2
75.15	71.38
73.82	72.78
72.41	70.39
71.73	72.36
75.92	68.94
71.73	69.06
69.43	69.09
70.44	68.13
70.88	65.84
71.23	68.32
71.48	69.11
71.38	69.42
70.78	69.25
76.5	68.37
77.95	69.09
67.13	70.15
69.77	68.56
70.3	68.51
70.99	69.43
71.53	64.36
69.58	65.17
71.82	67.27
72.07	66.89
67.72	65.22
68.13	64.32
68.51	64.56
71.48	65.6
67.18	69.86
68.42	67.58
68.42	65.08
74.59	67.32
70.88	67.67
72.21	63.39
72.26	64.99
69.82	65.35
71.13	67.85
65.93	69.72
67.85	68.97
67.16	64.99
65.4	65.45
66.3	66.02
69.18	65.93
68.46	69.25
66.25	70.1
66.95	70.49
67.23	67.39
67.39	66.16
67.3	69.86
65.62	71.08
69.2	69.25
70.3	68.65
69.39	69.62
71.14	68.61
71.53	66.99
68.8	67.72
69.67	68.61
70.93	69.91
69.58	69.62
70.69	69.77
71.53	70.1
71.28	69.2
71.48	65.96
70.05	68.97
72.02	69.38
72.14	69.04
71.72	67.13
71.18	66.62
70.74	65.4
70.01	69.39
70.74	68.89
71.23	66.98
70.3	66.02
69.96	68.78
70.59	70.88
71.87	72.12
70.69	69.34
70.34	68.87
69.53	69.42
70.85	69.77
70.69	70.83
72.21	71.03
71.82	71.48
71.73	67.51
71.48	66.76
70.54	67.44
70.25	69.29
70.59	68.5
71.77	68.46
70.88	71.13
71.87	67.94
70.8	70.95
70.3	69.96
71.87	70.39
70.98	68.56
70.44	67.62
70.15	71.13
71.03	67.76
71.23	67.62
70.34	71.72
71.53	66.81
70.83	68.23
70.1	68.94
70.34	69.96
70.54	66.8
70.39	66.9
70.54	70.54
71.43	68.61
72.51	66.62
71.92	69.23
71.18	68.59
71.19	69.28
70.2	68.04
69.96	70.54
70.83	72.21
70.85	71.53
72.26	71.03
71.72	70.15
70.99	70.05
70.64	72.12
69.86	71.53
70.98	71.53
70.95	69.39
70.69	70.98
72.41	73.07
71.93	71.53
71.88	72.92
71.83	75.25
71.68	72.49
71.88	72.16
73.07	72.41
73.32	70.34
78.08	69.25
73.43	67.95
74.95	73.27
76.55	72.77
70.78	69.82
71.98	70.1
74.23	69.58
74.79	69.09
71.38	68.46
74.12	70.56
75.87	69.33
73.77	70.74
71.38	71.58
72.56	66.71
68.89	66.62
72.56	70.36
73.87	68.04
71.38	67.51
70.05	69.25
70.64	69.33
72.36	71.28
73.37	69.53
73.17	72.44
73.52	70.99
71.67	71.82
71.33	70.26
70.83	70.2
72.02	69.04
71.87	68.42
71.23	69.67
70.44	67.21
69.34	70.01
69.96	71.53
70.01	70.47
70.39	68.7
71.97	69.53
71.43	68.04
69.86	69.34
69.62	70.54
70.74	71.43
71.23	69.13
71.92	69.2
71.48	70.15
71.28	65.93
70.64	66.76
69.96	70.59
70.69	69.82
70.39	71.28
71.72	71.82
70.11	71.08
70.01	70.47
70.95	69.13
70.59	67.9
72.36	67.95
71.73	66.44
71.18	68.85
70.26	70.85
69.62	68.13
70.98	65.66
71.14	64.49
70.64	67.9
68.56	65.44
70.49	63.47
68.7	66.44
66.9	70.25
70.3	71.62
67.99	67.53
67.26	66.76
67.03	60.92
68.27	66.62
70.44	69.77
70.2	67.58
69.82	63.6
68.92	66.19
69.77	69.39
69.77	67.58
69.62	65.93
68.75	62.76
69.01	64.94
68.32	70.38
69.48	70.3
70.49	69.42
70.25	69.15
69.82	67.99
69.77	66.02
69.52	67.58
70.25	67.9
71.19	66.98
70.3	69.96
69.25	69.23
70.31	63.14
71.82	66.76
69.92	70.49
70.01	70.2
70.16	70.71
69.52	68.61
70.93	68.8
70.44	69.72
70.59	67.99
70.15	69.62
71.14	70.64
69.92	71.08
69.48	69.39
70.16	67.39
70.01	68.51
71.08	69.72
71.43	68.89
70.44	65.44
70.01	63.92
69.18	66.3
68.42	69.11
69.62	67.94
70.01	65.71
69.2	66.67
70.54	65.31
69.06	66.62
69.82	67.39
69.25	66.02
69.2	64.94
67.58	65.89
69.72	64.58
68.7	65.17
69.86	70.49
68.89	70.78
68.46	68.85
68.51	69.39
68.32	66.67
69.38	65.93
68.99	68.41
69.96	62.03
70.41	65.17
69.58	67.81
70.74	70.06
70.54	72.97
71.43	68.41
69.28	70.39
69.86	67.03
69.96	69.13
70.85	66.98
68.87	69.23
70.3	69.33
70.78	70.1
67.48	68.41
71.38	68.51
70.39	70.61
75.1	71.38
75.25	70.99
73.17	68.64
73.07	68.51
70.78	69.13
71.53	64.99
71.28	65.13
70.69	69.23
73.77	66.3
75.66	67.62
73.97	68.72
74.18	68.61
68.92	68.83
71.43	68.51
68.23	70.05
69.58	67.48
72.97	70.34
71.62	69.34
67.67	68.46
68.8	68.85
72.21	66.89
69.57	64.32
69.96	63.09
70.49	69.72
69.13	69.87
67.81	66.48
64.85	65.04
68.13	69.53
69.72	71.09
69.11	71.63
68.94	67.18
70.83	71.48
70.64	68.99
68.89	66.62
72.97	70.75
72.26	70.34
72.02	69.53
71.23	68.28
74.59	67.62
71.33	69.09
69.72	68.27
70.99	69.87
69.62	66.24
68.7	66.3
69.29	66.16
70.25	66.53
71.77	66.62
69.33	67.81
65.75	69.72
68.28	68.61
68.78	68.5
65.49	70.2
67.12	67.23
67.56	67.67
70.85	66.57
68.89	65.62
69.72	68.94
69.53	69.06
65.89	67.26
69.2	68.13
71.77	69.11
73.07	70.25
71.57	65.03
67.09	67.12
67.81	67.72
73.48	66.21
74.18	64.54
64.4	64.27
64.18	64.4
66.62	65.17
68.04	62.81
66.89	62.81
69.34	63.07
69.62	65.26
69.62	62.03
65.31	61.48
64.54	65.82
68.51	61.66
65.96	63.87
65.59	65.22
67.46	60.75
69.04	62.97
65.75	64.14
64.76	62.94
65.84	66.02
67.26	65.08
63.92	65.44
65.26	65.03
66.21	68.09
68.04	68.42
65.13	65.26
65.04	63.66
64.18	62.15
65.8	65.08
67.23	65.13
67.62	65.04
66.89	65.17
64.32	62.46
66.62	63.74
67.76	65.31
66.81	67.13
65.66	65.98
65.84	66.85
64.67	64.63
65.48	65.13
65.45	66.89
66.89	64.67
65.49	65.13
67.07	63.34
65.13	65.48
66.39	66.38
65.8	65.08
66.44	64.86
66.12	63.69
65.4	65.22
64.67	65.93
66.3	65.84
74.1	64.18
74.52	63.38
64.9	63.31
64.23	64.45
65.08	66.48
64.85	65.89
65.63	65.62
65.53	62.32
65.26	65.62
64.05	67.48
67.85	63.79
65.93	64.78
63.92	64.85
65.75	63.87
65.62	62.94
64.91	65.04
65.53	67.72
66.02	65.44
67.16	64.58
64.91	65.17
64.76	65.17
66.48	65.84
69.47	65.44
65.44	64.58
64.01	62.24
64.67	63.44
65.77	66.21
65.54	66.99
67.3	65.04
64.18	64.01
67.62	66.34
66.02	62.88
67.53	67.56
65.66	66.48
65.89	65.57
66.25	65.62
68.56	65.57
66.62	67.56
67.27	66.89
70.15	66.94
67.48	66.53
68.09	65.82
66.44	66.95
65.45	68.04
67.61	67.76
66.48	65.75
66.12	67.84
67.67	65.45
67.58	64.45
67.99	64.45
67.53	65.44
67.44	68.37
70.39	65.98
68.23	66.49
68.13	64.19
68.38	64.91
67.09	64.01
66.62	63.29
66.99	65.77
67.76	67.81
68.42	67.95
66.53	69.13
66.15	67.44
67.46	67.9
68.09	68.09
67.56	67.07
68.42	66.02
68.65	66.34
68.56	67.85
70.25	66.62
68.78	67.48
69.34	67.23
69.2	67.89
67.35	68.28
68.97	67.95
69.82	67.76
68.09	67.16
67.72	67.99
67.35	67.85
67.76	69.23
67.76	71.48
67.95	70.11
68.7	69.34
69.29	68.23
71.43	73.97
73.72	75
71.97	68.23
72.71	66.1
74.48	65.31
72.46	69.96
71.43	66.34
72.31	65.4
70.59	67.81
71.87	67.53
72.36	69.52
71.48	65.31
69.67	66.81
70.49	66.07
68.8	60.63
68.04	59.7
69.04	63.92
69.96	64.86
70.93	64.05
71.09	67.16
69.82	68.56
69.2	61.22
69.29	62.94
68.04	59.79
68.51	63.05
68.94	68.13
70.3	65.13
69.72	66.07
69.38	67.48
69.15	65.72
71.43	67.16
70.64	61.48
68.8	66.07
69.29	66.39
69.29	60.75
69.96	65.31
68.56	65.84
68.56	66.85
68.04	64.05
68.37	61.73
68.94	65.04
71.04	63.16
70.05	64.95
72.21	65.35
71.38	65.26
67.44	65.44
67.9	63.92
68.09	64.91
67.39	62.72
70.34	69.82
69.53	67.56
69.72	64.86
68.18	63.16
68.23	64.54
80.11	67.9
68.28	64.32
65.8	66.25
65.44	67.99
65.57	68.09
64.76	67.27
66.21	65.66
67.65	65.71
66.07	63.44
68.23	61.64
68.23	61.69
67.09	62.59
65.17	63.57
65.57	64.14
66.39	64.09
63.61	64.72
63.11	63.09
65.22	62.72
63.57	64.36
63.01	62.97
64.01	64.54
65.93	63.66
65.66	63.34
63.79	60.61
63.66	62.07
63.27	58.86
62.75	58.9
64.81	58.99
62.97	62.07
62.54	61.05
64.05	60.61
66.8	60.25
63.66	62.72
63.09	63.79
64.63	63.35
62.2	64.01
65.44	61.53
64.1	59.92
62.24	58.78
63.25	61.73
63.22	60.92
63.31	62.11
64.32	61.98
62.76	65.71
63.97	63.74
62.67	61.73
63.52	60.97
64.27	63.05
64.72	66.39
63.22	65.84
63.22	65.22
61.86	64.85
69.53	64.73
63.66	63.16
67.12	63.92
64.86	59.45
65.62	64.86
62.98	62.63
63.25	64.94
70.34	63.05
66.07	62.11
63.57	64.05
64.36	60.67
63.57	64.14
63.7	63.7
65.8	65.62
64.78	64.67
66.71	62.33
64.27	61.06
61.1	63.56
66.1	62.42
65.62	62.32
65.44	67.07
64.72	65.49
63.14	62.54
63.2	64.09
62.54	64.14
63.07	64.54
62.85	64.32
65.82	61.06
66.57	62.94
64.85	65.08
64.72	64.94
63.44	61.86
63.83	63.35
62.92	63.35
62.54	64.05
63.39	65.57
63.01	64.4
65.44	69.01
64.14	67.44
65.26	60.75
65.53	61.1
65.75	60.42
64.85	60.54
70.59	64.05
71.13	63.97
61.83	62.5
57.73	63.57
62.59	64.09
61.86	63.74
65.13	65.13
65.22	63.96
65.89	62.37
64.18	64.09
64.23	66.95
66.21	68.75
65.86	66.57
66.44	65.31
65.53	63.07
67.12	65.08
66.16	67.35
70.3	69.25
68.62	69.96
65.03	69.53
69.15	61.44
69.48	66.12
69.62	67.12
69.48	67.94
70.15	67.62
70.05	67.3
69.48	68.09
66.8	67.03
64.32	66.48
66.53	68.04
67.95	65.93
67.58	65.8
68.04	68.09
68.56	68.09
67.81	66.85
68.92	66.44
69.11	67.39
69.43	68.56
67.76	67.81
67.53	67.21
69.67	68.09
67.39	68.75
67.07	66.25
68.09	65.4
69.39	66.85
67.44	66.48
67.35	70.75
67.44	72.16
74.07	70.15
79.38	68.97
70.2	68.56
72.36	68.23
71.63	68.51
72.36	70.05
69.67	70.34
67.81	68.04
70.05	68.61
70.2	67.12
71.72	68.99
71.19	67.85
67.3	67.62
71.38	68.32
70.2	65.57
68.04	66.16
69.58	67.27
70.9	66.89
69.48	66.67
69.15	66.44
69.25	69.09
68.51	67.26
67.53	66.25
72.61	68.28
71.28	67.9
65.22	67.85
67.99	67.13
69.42	68.18
70.15	69.06
67.07	66.16
67.39	64.05
68.87	65.98
66.44	67.81
66.48	67.51
67.46	65.57
70.01	67.81
67.35	66.34
64.27	67.16
66.3	66.21
66.9	65.84
65.82	66.12
65.62	67.04
67.53	66.34
68.37	67.03
71.67	65.03
68.99	63.66
65.03	64.09
66.21	61.1
67.9	61.22
66.94	62.59
66.53	63.96
66.34	63.05
63.29	63.87
65.35	63.03
64.32	62.15
61.52	63.09
62.33	66.34
63.47	63.52
66.05	61.66
63.96	60.33
62.1	63.09
62.75	61.79
63.29	61.94
67.67	64.91
62.97	62.33
63.05	63.79
65.13	65.35
63.44	65.68
63.57	63.96
65.35	67.12
62.76	64.4
61.73	65.75
64.18	68.04
63.52	67.13
61.75	67.39
66.76	65.03
65.66	68.89
69.09	67.85
67.67	67.62
67.99	67.42
67.39	67.48
66.34	67.35
66.48	68.47
66.99	68.32
66.89	67.58
68.13	67.53
67.95	67.85
67.56	68.65
68.09	67.35
68.65	67.39
68.09	66.9
67.51	67.16
67.58	67.09
67.99	67.39
68.32	67.75
67.44	66.44
67.07	66.76
66.67	67.95
65.89	68.46
66.71	68.04
67.7	68.92
68.13	68.56
67.23	66.44
67.67	64.09
67.72	66.99
68.04	66.8
68.42	65.93
68.75	66.81
69.67	68.55
68.28	67.42
66.57	67.62
66.89	68.32
65.96	68.87
67.62	67.37
66.85	68.85
66.95	68.85
68.28	67.53
67.99	68.85
68.23	66.9
69.25	63.35
69.39	66.62
67.72	68.04
68.46	68.23
68.04	69.2
68.04	67.09
68.04	68.04
66.21	68.51
66.12	68.61
67.65	69.11
68.23	67.26
68.09	67.99
68.09	68.32
68.94	68.23
69.67	68.7
69.53	68.92
67.03	68.89
67.72	68.7
69.82	68.46
68.04	68.28
67.99	68.73
68.8	69.62
69.34	68.42
69.57	68.97
68.61	69.23
68.23	68.8
69.04	67.16
70.3	66.07
69.04	67.27
69.04	67.53
69.52	67.9
70.05	68.8
71.38	67.67
66.02	67.07
67.67	66.71
67.95	69.28
68.7	69.53
68.13	68.65
67.8	69.53
68.23	67.99
69.09	68.64
68.89	69.28
68.09	70.25
69.96	67.85
69.06	67.04
69.25	69.2
68.28	74.02
68.8	72.92
69.34	73.32
71.13	70.78
69.72	66.94
73.17	68.61
73.12	69.82
70.2	67.03
70.44	65.4
72.14	65.75
71.62	65.31
70.64	66.44
71.13	68.94
68.78	70.01
67.35	66.21
67.13	65.13
66.53	67.61
68.09	67.48
67.03	68.04
67.7	66.35
69.39	67.99
69.91	69.11
69.82	66.9
67.39	69.29
67.09	67.23
67.12	67.53
67.85	69.29
66.76	68.99
67.3	67.26
72.08	66.95
68.51	66.07
68.04	66.71
67.9	68.78
66.62	70.44
67.12	65.66
70.34	65.98
68.28	66.71
66.62	69.48
67.27	67.53
73.58	63.87
76.13	67.23
65.66	66.98
65.44	70.06
66.8	69.11
69.67	63.2
70.06	64.81
63.22	66.8
65.82	67.04
66.53	66.02
70.05	69.13
69.15	69.06
65	67.32
65.08	67.12
68.18	67.9
67.84	67.51
66.95	69.77
69.28	69.25
68.65	67.72
67.48	68.56
67.27	69.86
68.8	68.28
67.13	67.3
70.25	67.32
70.2	66.98
65.62	66.3
67.04	65.22
67.53	67.21
69.2	73.22
66.12	70.99
65.8	69.33
65.89	70.99
67.16	68.99
70.39	67.16
73.12	67.32
71.38	65.66
74.36	68.32
73.62	69.06
67.75	69.47
65.89	67.81
69.11	70.1
69.43	69.13
69.86	68.04
70.54	66.16
69.2	67.26
69.87	66.67
72.92	66.39
71.68	66.98
67.89	66.34
66.02	68.13
67.67	66.39
66.81	66.21
67.13	67.94
68.75	65.26
68.09	70.1
66.34	71.33
68.89	68.13
67.37	65.4
69.11	69.28
69.47	66.39
68.28	66.25
67.58	66.16
69.53	64.69
69.48	66.95
67.95	64.78
67.21	64.85
69.29	68.97
68.28	64.95
69.25	62.5
68.09	63.07
67.44	66.62
66.76	62.58
68.99	62.75
69.62	68.28
68.99	66.62
67.16	65.49
66.85	68.83
68.46	67.18
69.39	62.81
67.44	63.2
67.07	61.14
67.81	61.02
67.76	65.86
67.85	65.4
67.99	64.72
67.53	63.27
66.3	66.15
65.08	67.21
65.91	64.81
66.21	61.22
67.75	63.34
67.03	64.56
65.77	67.18
65.17	63.22
66.02	64.94
66.34	65.62
67.53	66.8
67.18	65.08
67.48	64.9
67.48	63.31
67.3	65.71
67.3	67.81
67.18	66.99
66.25	67.16
67.09	65.82
66.71	65.04
67.21	65.35
66.95	65.31
66.44	63.87
67.07	64.94
66.39	67.16
65.89	64.06
66.85	64.95
66.53	67.46
68.46	67.42
66.29	66.9
68.23	66.71
67.23	65.57
66.9	65
67.39	58.62
68.92	59.67
68.51	63.83
66.34	65.54
67.16	65.17
67.26	66.48
67.62	65.84
68.56	65
68.37	62.72
68.28	65.8
68.28	66.39
68.89	64.05
68.46	63.92
67.9	64.67
67.53	63.14
67.62	63.83
68.09	62.24
68.13	60.88
67.85	65.26
67.81	63.39
68.13	64.58
67.9	66.99
67.76	62.33
67.72	63.09
66.21	64.63
68.61	69.29
67.94	69.62
67.51	65.26
67.61	65.98
67.95	64.09
67.12	63.05
67.12	65.49
68.65	65.77
68.51	63.27
68.61	66.67
68.13	69.77
67.84	70.34
68.99	67.37
69.39	68.87
68.32	65.03
69.06	67.53
69.67	71.77
70.59	70.1
69.91	66.99
70.1	67.13
70.1	69.04
71.43	68.97
71.48	63.78
70.39	66.76
69.23	66.31
68.78	64.99
68.56	59.47
69.67	62.98
70.01	71.72
68.8	69.77
69.25	64.9
70.34	65.22
70.85	64.9
70.31	66.48
71.28	65
74	66.1
75.77	69.82
71.98	69.01
68.37	65.59
68.09	63.27
68.75	63.79
69.28	62.94
69.48	61.22
70.1	62.76
69.82	66.21
71.14	68.23
69.15	66.02
67.76	61.98
70.99	61.14
69.43	62.37
69.34	66.76
66.95	66.81
74.26	66.53
66.07	66.34
61.69	62.28
63.92	62.58
66.62	62.03
68.23	63.03
67.61	65.89
68.28	68.78
70.15	70.61
67.56	65.53
64.01	68.8
63.83	67.44
67.53	67.16
71.77	67.04
70.93	64.27
68.23	64.36
69.87	62.72
68.23	63.74
64.58	67.62
67.42	66.02
68.42	64.29
64.23	65.71
63.47	69.06
64.58	70.26
67.12	63.25
68.51	64.72
66.34	67.58
64.05	65.89
62.84	64.86
66.44	63.74
68.46	63.87
63.97	70.2
66	63.87
67.58	67.58
67.67	67.39
67.9	64.01
69.48	63.47
69.86	61.27
65.8	60.25
63.74	60.93
62.88	64.72
63.48	64.01
67.48	65.35
62.54	65.45
59.92	63.18
63.42	63.74
67.58	65.53
66.3	66.44
65.31	63.48
63.61	63.65
63.7	63.31
63.92	63.7
64.14	64.14
66.39	63.87
69.09	66.48
66.99	66.85
63.27	66.16
62.67	70.15
66.44	68.23
67.84	65
64.32	63.92
64.63	63.44
66.48	66.95
65.03	67.44
70.78	64.67
70.41	64.95
65.75	68.23
63.11	65.75
64.23	68.51
66.21	69.91
66.85	64.81
67.44	63.39
68.51	62.33
68.23	61.14
71.33	63.61
74	62.63
68.09	61.73
63.07	63.05
66.57	68.04
65.54	65.17
63.51	63.07
64.86	65.13
66.19	63.25
71.53	64.63
76.98	64.6
68.56	62.41
63.83	64.52
62.81	61.31
66.02	63.74
68.37	65.8
66.21	64.45
64.01	67.18
63.83	62.41
63.57	65.57
65.35	69.29
67.35	66.16
71.19	63.03
72.26	65.04
75.15	65.84
76.18	65.84
75.56	67.53
74.53	63.7
73.22	66.8
71.09	61.06
70.9	63.31
68.61	63.79
70.83	63.48
70.34	65.98
67.84	67.21
68.75	64.58
69.2	66.34
68.8	66.44
71.03	62.8
76.18	64.82
63.87	66.12
63.87	65.77
64.49	64.82
64.63	60.67
65.26	63.18
63.56	66.48
65.48	66.52
68.28	66.07
64.06	67.76
61.52	68.28
63.07	64.09
68.04	62.94
68.04	62.54
68.18	64.72
68.18	65.49
67.61	65.53
66.67	66
64.72	64.95
62.72	65.31
62.97	64.65
63.39	67.29
64.9	65.89
65.62	64.9
66.1	64.67
65.35	65.49
64.99	67.21
65.84	65.71
69.53	65.48
67.9	68.85
65.89	66.07
64.4	66.53
65.31	69.82
65.96	69.06
68.61	65.98
69.15	64.05
68.09	64.58
67.95	65.89
70.95	64.45
68.37	64.14
68.28	63.83
68.75	65.08
66.53	65.13
68.87	63.74
68.32	63.65
63.2	65.72
63.66	69.06
66.16	65.89
66.34	63.6
64.09	60.81
63.6	63.83
66.39	64.32
65.75	62.24
65.57	58.62
65.13	59.18
65.48	61.39
63.57	59.39
64.14	59.06
60.54	59.71
61.18	61.7
63.16	61.18
62.54	58.37
63.35	59.07
62.07	58.59
61.27	57.73
61.69	61.6
63.69	58.21
64.01	56.83
63.22	57.61
62.33	58.25
63.66	64.85
62.94	62.97
63.52	60.25
64.09	59.92
63.05	62.46
62.46	64.01
65.31	64.99
66.02	60.42
65.03	58.39
63.79	62.85
62.63	63.66
62.59	63.79
63.96	62.11
65.08	61.22
64.32	60.42
64.01	62.5
62.15	62.07
65.35	57.22
64.36	60.84
65.4	61.06
65.93	61.05
63.87	64.32
64.91	58.62
65.98	57.1
65.35	63.25
64.01	57.1
63.87	59.02
62.33	64.09
65.89	76.45
65.98	74.38
67.21	69.42
71.48	67.35
78.89	66.98
77.84	69.77
71.14	66.76
67.67	65.8
69.42	66.25
70.54	67.12
68.46	68.13
67.03	65.48
67.13	63.16
68.37	63.05
68.04	65.62
67.09	64.4
69.43	64.01
68.51	63.51
65.4	62.89
66.85	65.17
68.51	65.22
66.95	66.76
66.98	67.35
63.29	64.72
64.81	62.97
66.15	62.94
65.68	63.79
66.25	66.25
67.07	66.3
63.25	60.89
63.52	60.97
65.22	63.57
66.39	66.07
66.57	63.07
60.17	63.31
61.57	66.67
64.14	68.13
64.06	63.87
63.92	62.81
61.18	64.54
62.75	63.14
65	62.94
62.67	64.65
62.2	61.05
61.86	61.14
62.67	63.96
65.31	65.86
63.83	65.35
63.96	65.44
61.35	63.57
60.37	68.23
64.23	67.18
63.92	64.95
64.72	64.85
65.08	63.66
64.82	61.64
63.83	61.98
63.48	63.74
65.22	63.38
65.22	62.63
65.35	63.83
61.6	63.66
63.01	63.25
63.39	64.01
64.36	64.85
65.17	64.47
64.06	64.81
64.36	63.05
63.92	64.27
63.69	65.53
64.58	64.94
64.32	61.39
65.44	61.05
63.87	62.76
64.01	63.52
65.22	63.92
63.52	62.37
61.18	63.07
61.02	63.83
61.4	64.23
61.77	65.13
63.31	64.94
63.79	66.02
63.39	66.85
63.39	66.94
64.86	66.76
64.67	66.57
63.7	65.44
63.01	65.35
64.85	67.26
66.16	67.09
66.85	68.04
66.62	67.76
67.04	66.98
66.12	67.13
66.67	67.9
66.34	67.58
67.04	67.35
67.48	66.05
68.32	66.62
67.67	66.67
67.04	66.53
65.84	67.26
66.8	66.57
66.25	66.85
66.57	66.05
66.07	65.75
67.12	66.95
66.44	67.67
67.76	66.99
66.1	66.34
65.53	66.21
65.22	66.21
65.53	65.62
66.25	67.13
67.44	67.26
66.53	67.44
65.89	67.53
65.63	67.32
66.89	66.8
66.44	66.71
67.72	67.58
66.71	65.93
66.81	66.34
66.44	67.07
66.71	67.85
66.25	66.99
66.07	66.44
66.95	65.98
66.21	67.16
66.21	67.53
67.07	65.59
66.16	66.12
67.62	66.85
65.96	67.18
65.98	66.85
66.15	67.39
65.93	67.75
66.07	68.7
67.21	67.99
66.48	67.03
67.76	67.44
67.09	67.9
67.35	67.67
69.67	67.72
67.39	67.53
66.89	67.85
66.95	68.51
66.99	68.8
67.13	68.09
67.27	67.95
67.39	67.3
67.16	67.95
67.53	67.81
67.81	67.13
68.85	68.09
67.95	68.42
67.13	69.52
67.21	71.09
67.3	70.34
67.37	70.69
66.21	71.62
68.04	67.23
69.04	65.98
64.09	64.94
66.05	64.9
66.44	65.45
66	64.14
65.62	65.72
66.95	65.62
67.72	67.48
66.07	67.3
65.31	64.54
65.8	65.08
65.98	66.53
69.15	66.71
66.76	65.17
65.35	65.22
65.26	64.05
66.16	66.53
66.1	61.1
66.39	62.28
69.15	60.08
61.94	60.21
67.85	60.12
67.53	59.83
62.37	60.08
58.82	63.05
61.81	59.63
61.9	62.63
59.83	61.64
59.67	60.42
60.5	61.77
67.35	60.08
65.54	59.28
60.5	62.03
61.56	62.54
60.92	59.87
59.79	59.88
60.54	60.93
61.56	60.71
59.3	59.35
60.97	60.37
62.67	60.12
60	60.65
61.02	60.58
61.27	61.01
60.84	64.23
59.79	63.18
60.54	63.38
60.08	62.8
61.06	62.63
60.88	62.37
60.37	62.5
62.46	62.84
63.27	62.94
62.76	63.11
62.33	64.32
62.5	63.61
61.77	65.13
60.75	66.3
61.94	64.9
62.72	63.96
66.67	64.32
64.36	63.92
65.4	66.76
66.57	68.13
64.4	67.07
62.94	65.4
63.47	66.21
64.36	67.16
68.04	69.09
67.46	69.01
66.1	64.99
65.89	65.13
67.18	64.63
71.53	67.9
67.8	70.25
65.59	69.67
66.12	69.72
65.71	69.62
66.81	69.15
67.85	67.13
70.2	67.16
70.85	66.3
69.28	63.83
68.18	62.15
67.26	61.86
61.73	60.25
60.67	61.1
60.54	61.98
60.8	60.89
59.87	60.75
60.42	64.95
60.81	69.09
62.94	62.72
65.89	61.14
70.01	61.35
72.16	65.84
70.1	63.42
60.25	59.51
61.81	62.76
61.48	61.86
66.71	64.05
64.67	64.09
59.24	64.6
62.28	63.16
64.36	70.25
61.27	64.91
62.41	61.14
64.32	63.14
63.2	62.89
65.26	65.89
61.44	64.14
62.5	63.66
61.48	66.21
66.34	61.02
66.89	64.54
65.62	61.27
64.67	63.03
61.02	62.76
61.27	65.71
60.37	64.18
61.35	61.06
61.01	64.6
63.14	64.4
62.28	63.11
64.49	62.67
63.51	60.77
60.81	62.89
61.06	65.04
59.66	60.75
60.17	65.48
61.18	63.48
60.8	61.1
63.87	66.99
63.47	64.39
